Geneid	CO2	avg.z	locus
gene-SYNPCC7002_RS04840	8	0.4297635947030237	32049.SYNPCC7002_A0969
gene-SYNPCC7002_RS04840	30	0.7948227984140381	32049.SYNPCC7002_A0969
gene-SYNPCC7002_RS04845	0.04	-1.4014300110053401	32049.SYNPCC7002_A0970
gene-SYNPCC7002_RS04845	4	0.14233883902810518	32049.SYNPCC7002_A0970
gene-SYNPCC7002_RS04845	8	0.5322888007032766	32049.SYNPCC7002_A0970
gene-SYNPCC7002_RS04845	30	0.7268023712739532	32049.SYNPCC7002_A0970
gene-SYNPCC7002_RS04850	0.04	-1.5739150760295164	32049.SYNPCC7002_A0971
gene-SYNPCC7002_RS04850	4	0.7451561224019675	32049.SYNPCC7002_A0971
gene-SYNPCC7002_RS04850	8	0.5209031760466833	32049.SYNPCC7002_A0971
gene-SYNPCC7002_RS04850	30	0.30785577758086574	32049.SYNPCC7002_A0971
gene-SYNPCC7002_RS04855	0.04	-1.1259470603024047	32049.SYNPCC7002_A0972
gene-SYNPCC7002_RS04855	4	0.99175239032326	32049.SYNPCC7002_A0972
gene-SYNPCC7002_RS04855	8	0.8637403248169415	32049.SYNPCC7002_A0972
gene-SYNPCC7002_RS04855	30	-0.729545654837801	32049.SYNPCC7002_A0972
gene-SYNPCC7002_RS04860	0.04	-1.4998027208374225	32049.SYNPCC7002_A0973
gene-SYNPCC7002_RS04860	4	0.7381028597626583	32049.SYNPCC7002_A0973
gene-SYNPCC7002_RS04860	8	0.8033106251506765	32049.SYNPCC7002_A0973
gene-SYNPCC7002_RS04860	30	-0.04161076407590573	32049.SYNPCC7002_A0973
gene-SYNPCC7002_RS04865	0.04	-1.5031188389785899	32049.SYNPCC7002_A0974
gene-SYNPCC7002_RS04865	4	0.6288674761230741	32049.SYNPCC7002_A0974
gene-SYNPCC7002_RS04865	8	0.500963190146142	32049.SYNPCC7002_A0974
gene-SYNPCC7002_RS04865	30	0.3732881727093596	32049.SYNPCC7002_A0974
gene-SYNPCC7002_RS04870	0.04	-1.5585863151641381	32049.SYNPCC7002_A0975
gene-SYNPCC7002_RS04870	4	0.7554843075896267	32049.SYNPCC7002_A0975
gene-SYNPCC7002_RS04870	8	0.7957095247227803	32049.SYNPCC7002_A0975
gene-SYNPCC7002_RS04870	30	0.007392482851730448	32049.SYNPCC7002_A0975
gene-SYNPCC7002_RS04875	0.04	-1.4241784909074329	32049.SYNPCC7002_A0976
gene-SYNPCC7002_RS04875	4	0.24816778516467627	32049.SYNPCC7002_A0976
gene-SYNPCC7002_RS04875	8	0.6644819393606438	32049.SYNPCC7002_A0976
gene-SYNPCC7002_RS04875	30	0.511528766382065	32049.SYNPCC7002_A0976
gene-SYNPCC7002_RS04885	0.04	-1.4600407235231116	32049.SYNPCC7002_A0978
gene-SYNPCC7002_RS04885	4	0.5065074198311895	32049.SYNPCC7002_A0978
gene-SYNPCC7002_RS04885	8	-0.0908986078969151	32049.SYNPCC7002_A0978
gene-SYNPCC7002_RS04885	30	1.0444319115888367	32049.SYNPCC7002_A0978
gene-SYNPCC7002_RS04890	0.04	-1.6294970420583694	32049.SYNPCC7002_A0979
gene-SYNPCC7002_RS04890	4	0.5755007074328935	32049.SYNPCC7002_A0979
gene-SYNPCC7002_RS04890	8	0.6496348572901921	32049.SYNPCC7002_A0979
gene-SYNPCC7002_RS04890	30	0.40436147733527206	32049.SYNPCC7002_A0979
gene-SYNPCC7002_RS04895	0.04	-1.6284145032355517	32049.SYNPCC7002_A0980
gene-SYNPCC7002_RS04895	4	0.5526014700945661	32049.SYNPCC7002_A0980
gene-SYNPCC7002_RS04895	8	0.32888016882800025	32049.SYNPCC7002_A0980
gene-SYNPCC7002_RS04895	30	0.7469328643129806	32049.SYNPCC7002_A0980
gene-SYNPCC7002_RS04905	0.04	1.0779700207423897	32049.SYNPCC7002_A0982
gene-SYNPCC7002_RS04905	4	-0.4680893571682775	32049.SYNPCC7002_A0982
gene-SYNPCC7002_RS04905	8	0.2621878360381713	32049.SYNPCC7002_A0982
gene-SYNPCC7002_RS04905	30	-0.8720684996122815	32049.SYNPCC7002_A0982
gene-SYNPCC7002_RS04910	0.04	-0.18430896143136954	32049.SYNPCC7002_A0984
gene-SYNPCC7002_RS04910	4	1.1775150285773122	32049.SYNPCC7002_A0984
gene-SYNPCC7002_RS04910	8	0.34057152034436794	32049.SYNPCC7002_A0984
gene-SYNPCC7002_RS04910	30	-1.3337775874903492	32049.SYNPCC7002_A0984
gene-SYNPCC7002_RS04915	0.04	-0.08335564614478143	32049.SYNPCC7002_A0985
gene-SYNPCC7002_RS04915	4	1.1315260612640357	32049.SYNPCC7002_A0985
gene-SYNPCC7002_RS04915	8	0.3400931874405254	32049.SYNPCC7002_A0985
gene-SYNPCC7002_RS04915	30	-1.3882636025597783	32049.SYNPCC7002_A0985
gene-SYNPCC7002_RS04920	0.04	-7.541897413395615e-4	32049.SYNPCC7002_A0986
gene-SYNPCC7002_RS04920	4	1.1024764548985027	32049.SYNPCC7002_A0986
gene-SYNPCC7002_RS04920	8	0.1535449514078526	32049.SYNPCC7002_A0986
gene-SYNPCC7002_RS04920	30	-1.2552672165650502	32049.SYNPCC7002_A0986
gene-SYNPCC7002_RS04925	0.04	-1.4877123478054703	32049.SYNPCC7002_A0987
