Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS00870	15549	14221	12396	12987	556	378	407	360	795	1060	789	843	931	535	700	674
gene-SYNPCC7002_RS00875	859	731	677	647	2418	1820	1799	1566	2870	3997	2549	2782	2843	2080	3067	2494
gene-SYNPCC7002_RS00880	1886	1346	1082	1140	3285	3132	2835	2349	4871	6144	4456	4856	5202	3332	4188	3649
gene-SYNPCC7002_RS00885	924	782	717	751	1871	1629	1373	1416	2070	2748	1563	1729	1967	1332	1892	1439
gene-SYNPCC7002_RS00890	119	115	99	118	253	173	153	174	241	361	239	292	248	170	219	171
gene-SYNPCC7002_RS00895	1903	1705	2270	2321	927	779	682	627	636	937	485	501	503	394	631	447
gene-SYNPCC7002_RS00900	2749	2198	1893	2179	4782	3799	3679	3540	6338	8035	5293	6733	5814	4345	6291	4403
gene-SYNPCC7002_RS00905	758	724	702	617	584	498	491	457	460	822	435	555	505	348	476	351
gene-SYNPCC7002_RS00910	0	0	2	2	0	0	2	0	4	6	6	4	0	0	4	0
gene-SYNPCC7002_RS00915	1027	878	808	788	2080	1899	1574	1482	2156	2930	1712	2248	2039	1365	1914	1444
gene-SYNPCC7002_RS00920	3495	2900	3904	3413	3743	3453	3071	2611	703	952	1027	1304	991	563	780	770
gene-SYNPCC7002_RS00925	3454	4403	4327	4399	16175	11716	11941	9053	3760	4847	3279	4088	3489	3001	4657	2654
gene-SYNPCC7002_RS00930	6477	5550	6290	5820	11766	9470	8544	8545	8283	11106	7281	9281	7246	5592	7258	5696
gene-SYNPCC7002_RS00935	1075	941	770	792	2401	2014	1791	1473	2032	2765	1790	2025	2112	1340	1927	1580
gene-SYNPCC7002_RS00940	1346	1119	975	969	2212	1726	1618	1635	2154	2960	1710	2080	1963	1388	2011	1466
gene-SYNPCC7002_RS00945	985	835	760	643	1675	1513	1301	1096	1547	1862	1384	1937	1537	928	1320	1133
gene-SYNPCC7002_RS00950	1687	1341	1604	1651	901	740	706	647	1172	1609	847	1035	1026	710	971	908
gene-SYNPCC7002_RS00955	477	312	525	431	465	398	306	339	271	389	356	430	333	181	257	258
gene-SYNPCC7002_RS00960	1401	955	869	793	1262	1071	929	959	1799	2586	1518	2303	1577	1207	1496	1235
gene-SYNPCC7002_RS00965	283	190	173	156	280	286	188	181	245	366	218	353	281	139	199	217
gene-SYNPCC7002_RS00970	410	303	508	364	351	331	291	232	302	362	253	265	273	160	253	175
gene-SYNPCC7002_RS00975	850	642	814	690	846	711	623	584	539	734	489	528	440	230	390	312
gene-SYNPCC7002_RS00980	691	410	508	349	640	601	574	432	337	540	348	447	397	215	257	317
gene-SYNPCC7002_RS00985	440	380	469	424	550	491	427	377	317	398	299	369	344	165	290	250
gene-SYNPCC7002_RS00990	455	382	502	530	547	431	400	412	338	493	343	374	294	234	326	251
gene-SYNPCC7002_RS00995	1247	1137	1310	980	1528	1148	1105	955	957	1116	843	1040	883	564	772	715
gene-SYNPCC7002_RS01000	186	192	284	186	251	165	168	166	128	215	135	187	182	110	127	123
gene-SYNPCC7002_RS01005	148	82	171	137	132	102	112	124	126	132	69	132	70	49	103	86
gene-SYNPCC7002_RS01010	345	321	445	285	411	334	312	273	294	386	299	283	288	198	255	275
gene-SYNPCC7002_RS01015	199	149	220	162	329	250	265	190	271	347	235	254	251	139	227	207
